,id_video,Channel,title,description,publish_time,duration,definiton,closed_caption,license_content,madeforkids,license,view_count,like_count,favorite_count,comment_count
0,dPZ8uUvrgZQ,Trippy Kitchen,Chat GPT A.I. Ki help se banai dish,,2023-01-21T16:48:41Z,PT31S,hd,false,True,False,youtube,12767713,685958,0,889
1,kvTs_nbc8Eg,Gotham Clips,ChatGPT vs Stockfish,Learn Chess: https://www.youtube.com/gothamchess ➡️ Free Chess Courses: https://www.chessly.com ➡️ Probably Edited ...,2023-02-12T09:15:01Z,PT58S,hd,false,True,False,youtube,9708751,575413,0,5733
2,vJefOB8kec8,Dhruv Rathee,The Truth about Artificial Intelligence and ChatGPT | Dhruv Rathee,Join my AI Course: https://academy.dhruvrathee.com/chatgpt Learn to harness the power of ChatGPT effectively and transform ...,2023-07-16T15:05:29Z,PT22M37S,hd,true,True,False,youtube,8206423,376992,0,26105
3,8y7GRYaYYQg,candlesan,Can AI code Flappy Bird? Watch ChatGPT try,I asked ChatGPT to provide me with instructions on how to make Flappy Bird and it also wrote all of the code. I didn't write a single ...,2023-03-23T16:00:08Z,PT7M26S,hd,false,True,False,youtube,7885995,129733,0,3647
4,t0x6WNItdX4,Agnit Shorts,I DEFEATED ChatGPT !!! #shorts,I DEFEATED CHAT GPT #shorts.,2023-04-12T04:30:22Z,PT44S,hd,false,True,False,youtube,7717059,624832,0,2836
5,L_Guz73e6fw,Lex Fridman,"Sam Altman: OpenAI CEO on GPT-4, ChatGPT, and the Future of AI | Lex Fridman Podcast #367","Sam Altman is the CEO of OpenAI, the company behind GPT-4, ChatGPT, DALL-E, Codex, and many other state-of-the-art AI ...",2023-03-25T18:03:21Z,PT2H23M57S,hd,true,True,False,youtube,6087459,105931,0,11445
6,zzPwTJGBLOc,Kanał Sportowy,"ANDRZEJ DRAGAN, TOMASZ CZAJKA I STANOWSKI. ChatGPT, SZTUCZNA INTELIGENCJA. HEJT PARK: JESTEŚMY NA TY","Audycja przeznaczona dla osób powyżej 16. roku życia. #HejtPark - Jesteśmy Na Ty - profesor Andrzej #Dragan, fizyk oraz ...",2023-04-26T22:19:05Z,PT3H55M56S,hd,false,True,False,youtube,5763455,43041,0,3267
7,JTxsNm9IdYU,Adrian Twarog,ChatGPT Tutorial - A Crash Course on Chat GPT for Beginners,"This ChatGPT Tutorial is a Crash Course on Chat GPT for Beginners. With the increase in popularity, ChatGPT is still unknown to ...",2022-12-12T10:52:13Z,PT34M5S,hd,false,True,False,youtube,5467471,81665,0,2871
8,zpRM25pUD8w,Digital Engine,"Smart, seductive, dangerous AI robots. Beyond GPT-4.","AI robots, with Elon Musk, Boston Dynamics. To learn AI, visit: https://brilliant.org/digitalengine where you'll also find loads of fun ...",2023-01-22T16:57:44Z,PT16M23S,hd,true,True,False,youtube,5157358,53738,0,7298
9,_5UHsFdHcE8,QuickBits,Chat GPT Banned in College? | Use this website !,"My college couldn't catch me cheating, they need to up their game! . . #qb #qbreels #qbshorts #quickbits #chatgpt #college ...",2023-02-17T11:56:20Z,PT59S,hd,false,True,False,youtube,5061817,389086,0,769
10,FdZ8LKiJBhQ,Nate Gentile,¿Cómo funciona ChatGPT? La revolución de la Inteligencia Artificial,REGISTRATE A LA GTC Y ASISTE A UNA SESIÓN PARA GANAR UNA GPU!,2023-03-07T21:24:03Z,PT50M45S,hd,false,True,False,youtube,4348762,131673,0,4474
11,iZDflpwN5as,Anik Singal,Why You Don&#39;t Want To Use ChatGPT To Do Your Homework,FREE Courses from LURN == https://www.Lurn.com/getfreecourses ============================================ Why ...,2023-03-11T22:56:55Z,PT31S,hd,false,True,False,youtube,4157748,275254,0,4427
12,e_HSA1lUd04,Space Kangaroo,ChatGPT tries to draw a circle,Its bad.,2023-01-02T00:28:42Z,PT1M45S,hd,false,True,False,youtube,4146808,145677,0,6648
13,pCeYZ7eaeIw,Steven He,If ChatGPT was ASIAN,"skit #asian #parody #comedy #sketch #emotionaldamage Watch ""Ginormo!",2023-06-08T19:06:06Z,PT3M48S,hd,false,True,False,youtube,3984020,200423,0,5110
14,JsM-bF8AVXU,FaZe Rug,Letting Chat GPT Control My Life for 24 Hours!,"The future is here. I let AI control my life with @BrandonWilliamyt for the entire day, and it's terrifying to know this will take over the ...",2023-01-08T20:44:58Z,PT18M42S,hd,false,True,False,youtube,3816017,91552,0,4106
15,N8Wz7LF2QS0,SSundee,Using ChatGPT in Among Us,We use ChatGPT to win in Modded Among Us ☞ Subscribe & click the bell Subscribe ...,2023-06-11T16:00:17Z,PT18M,hd,false,True,False,youtube,3693580,85112,0,2597
16,j02OZRjf2d8,New Media Academy Life ,Chat GPT | الدحيح,رحلة داخل الذكاء الاصطناعي اللي عارف ومش عارف كل حاجة. شاهدوا حلقات الدحيح أولاً على منصات ستارز بلاي @STARZPLAY-SVOD ...,2023-03-07T18:00:08Z,PT20M16S,hd,true,True,False,youtube,3686344,146493,0,3209
17,8I3NTE4cn5s,Codex Community,How to use AI Art and ChatGPT to Create a Insane Web Designs,Learn how to use AI Art and ChatGPT to Create a Website without writing a single line of code! ⭐ New - Teach Me OpenAI Digital ...,2022-12-27T10:29:13Z,PT22M21S,hd,false,True,False,youtube,3681371,110580,0,2168
18,gtgA4u8V_TQ,GothamChess,ChatGPT Chess DISASTER,️Get My Chess Courses: https://www.chessly.com/ ➡️ Get my best-selling chess book: https://geni.us/gothamchess ➡️ My ...,2023-02-12T20:38:00Z,PT35S,hd,false,True,False,youtube,3684576,286730,0,3261
19,rSCNW1OCk_M,GothamChess,ChatGPT Just Solved Chess,Anarchy Chess Post: http://bit.ly/3jLT4JZ ➡️ ️Get My Chess Courses: https://www.chessly.com/ ➡️ Get my best-selling chess ...,2023-02-11T20:23:00Z,PT16M2S,hd,false,True,False,youtube,3584183,183515,0,17195
20,kCc8FmEb1nY,Andrej Karpathy,"Let&#39;s build GPT: from scratch, in code, spelled out.","We build a Generatively Pretrained Transformer (GPT), following the paper ""Attention is All You Need"" and OpenAI's GPT-2 ...",2023-01-17T16:33:27Z,PT1H56M20S,hd,false,True,False,youtube,3515043,82578,0,2044
21,sTeoEFzVNSc,Programming with Mosh,ChatGPT Tutorial for Developers - 38 Ways to 10x Your Productivity,"Learn how to use ChatGPT to 10x your productivity! 38 examples using Python, JavaScript, HTML, CSS, React, SQL and more!",2023-01-13T17:00:09Z,PT28M13S,hd,false,True,False,youtube,3464977,53480,0,1592
22,outcGtbnMuQ,OpenAI,GPT-4 Developer Livestream,"Join Greg Brockman, President and Co-Founder of OpenAI, at 1 pm PT for a developer demo showcasing GPT-4 and some of its ...",2023-03-14T20:32:41Z,PT24M28S,hd,false,False,False,youtube,3464693,97448,0,4147
23,K7z0jlE61IM,Alden Adison,Don&#39;t use ChatGPT until you&#39;ve watched this video!,Don't use ChatGPT until you've watched this video! This is an important insight for all website and blog owners out there using ...,2022-12-22T05:05:43Z,PT1M,hd,false,False,False,youtube,3461503,183998,0,3387
24,AXn2XVLf7d0,The AI Advantage,How To Use Chat GPT by Open AI For Beginners,Looking to get more out of ChatGPT? Get my FREE Template: https://myaiadvantage.com/newsletter Master ChatGPT with our ...,2022-12-08T21:56:41Z,PT2M23S,hd,true,True,False,youtube,3406650,38325,0,1274
25,FRHCjt02YuY,Amixem,DUEL DE BLAGUES NULLES édition ChatGPT (les robots sont plus drôles que nous),On a essayé de se faire rire en utilisant des intelligences artificielles ! Téléchargez Call of Dragons pour PC ou MOBILE ...,2023-04-02T15:25:00Z,PT28M46S,hd,false,True,False,youtube,3364287,194231,0,2334
26,QGKq8NHbPAY,South Park Studios,"ChatGPT, dude",,2023-03-11T22:29:16Z,PT1M,hd,false,True,False,youtube,3177129,216611,0,1768
27,Xw-zxQSEzqo,Decycle,Two AIs Have An Existential Crisis (chatgpt),"Heavily Inspired by Jack Soslow's video ""Two AIs talk about becoming human"", https://www.youtube.com/watch?v=jz78fSnBG0s ...",2021-08-25T00:00:11Z,PT5M58S,hd,true,True,False,youtube,3168488,110046,0,13144
28,JYtZ2zsdE_s,Kevin Stratvert,10X Your Excel Skills with ChatGPT 🚀,"In this step-by-step tutorial, learn how you can exponentially improve your Excel skills using OpenAI's ChatGPT artificial ...",2023-01-12T08:00:07Z,PT11M39S,hd,true,True,False,youtube,3134463,47665,0,796
